path_id,path
0,/ihm/train/fee019/fee019_es2005a_train_h03_0000408-0000459.wav
1,/ihm/train/fee019/fee019_es2005c_train_h03_0003992-0004029.wav
2,/ihm/train/fee019/fee019_es2005c_train_h03_0005136-0005197.wav
3,/ihm/train/fee019/fee019_es2005c_train_h03_0005197-0005277.wav
4,/ihm/train/fee019/fee019_es2005c_train_h03_0006315-0006505.wav
5,/ihm/train/fee019/fee019_es2005c_train_h03_0025172-0025452.wav
6,/ihm/train/fee019/fee019_es2005c_train_h03_0025452-0025729.wav
7,/ihm/train/fee019/fee019_es2005c_train_h03_0025729-0025956.wav
8,/ihm/train/fee019/fee019_es2005c_train_h03_0027360-0027451.wav
9,/ihm/train/fee019/fee019_es2005c_train_h03_0027451-0027498.wav
10,/ihm/train/fee019/fee019_es2005c_train_h03_0071469-0071668.wav
11,/ihm/train/fee019/fee019_es2005c_train_h03_0071668-0072364.wav
12,/ihm/train/fee019/fee019_es2005c_train_h03_0072364-0073049.wav
13,/ihm/train/fee019/fee019_es2005c_train_h03_0073208-0073256.wav
14,/ihm/train/fee019/fee019_es2005c_train_h03_0073421-0073766.wav
15,/ihm/train/fee019/fee019_es2005c_train_h03_0112901-0113643.wav
16,/ihm/train/fee019/fee019_es2005c_train_h03_0113871-0113908.wav
17,/ihm/train/fee019/fee019_es2005c_train_h03_0114056-0114347.wav
18,/ihm/train/fee019/fee019_es2005c_train_h03_0114435-0114755.wav
19,/ihm/train/fee019/fee019_es2005c_train_h03_0115493-0115535.wav
20,/ihm/train/fee019/fee019_es2005c_train_h03_0167710-0167824.wav
21,/ihm/train/fee019/fee019_es2005c_train_h03_0168596-0168658.wav
22,/ihm/train/fee019/fee019_es2005c_train_h03_0169911-0170068.wav
23,/ihm/train/fee019/fee019_es2005c_train_h03_0170447-0170553.wav
24,/ihm/train/fee019/fee019_es2005c_train_h03_0171956-0171988.wav
25,/ihm/train/fee019/fee019_es2005c_train_h03_0048743-0049178.wav
26,/ihm/train/fee019/fee019_es2005c_train_h03_0049178-0049426.wav
27,/ihm/train/fee019/fee019_es2005c_train_h03_0049426-0049501.wav
28,/ihm/train/fee019/fee019_es2005c_train_h03_0049580-0049662.wav
29,/ihm/train/fee019/fee019_es2005c_train_h03_0049780-0050135.wav
30,/ihm/train/fee019/fee019_es2005c_train_h03_0084506-0084897.wav
31,/ihm/train/fee019/fee019_es2005c_train_h03_0084897-0085568.wav
32,/ihm/train/fee019/fee019_es2005c_train_h03_0085713-0085933.wav
33,/ihm/train/fee019/fee019_es2005c_train_h03_0086397-0086454.wav
34,/ihm/train/fee019/fee019_es2005c_train_h03_0086623-0086849.wav
35,/ihm/train/fee019/fee019_es2005c_train_h03_0137570-0137846.wav
36,/ihm/train/fee019/fee019_es2005c_train_h03_0137846-0138130.wav
37,/ihm/train/fee019/fee019_es2005c_train_h03_0138746-0138797.wav
38,/ihm/train/fee019/fee019_es2005c_train_h03_0140005-0140045.wav
39,/ihm/train/fee019/fee019_es2005c_train_h03_0140637-0140987.wav
40,/ihm/train/fee019/fee019_es2005c_train_h03_0155442-0155570.wav
41,/ihm/train/fee019/fee019_es2005c_train_h03_0156091-0156135.wav
42,/ihm/train/fee019/fee019_es2005c_train_h03_0156562-0156690.wav
43,/ihm/train/fee019/fee019_es2005c_train_h03_0156690-0157452.wav
44,/ihm/train/fee019/fee019_es2005c_train_h03_0157580-0157618.wav
45,/ihm/train/fee019/fee019_es2005c_train_h03_0157680-0158096.wav
46,/ihm/train/fee019/fee019_es2005c_train_h03_0158688-0158712.wav
47,/ihm/train/fee019/fee019_es2005c_train_h03_0160108-0160153.wav
48,/ihm/train/fee019/fee019_es2005c_train_h03_0160687-0160723.wav
49,/ihm/train/fee019/fee019_es2005c_train_h03_0066718-0066824.wav
50,/ihm/train/fee019/fee019_es2005c_train_h03_0066824-0066934.wav
51,/ihm/train/fee019/fee019_es2005c_train_h03_0067268-0067417.wav
52,/ihm/train/fee019/fee019_es2005c_train_h03_0067417-0067630.wav
53,/ihm/train/fee019/fee019_es2005c_train_h03_0067630-0067660.wav
54,/ihm/train/fee019/fee019_es2005c_train_h03_0067804-0067916.wav
55,/ihm/train/fee019/fee019_es2005c_train_h03_0067916-0069450.wav
56,/ihm/train/fee019/fee019_es2005c_train_h03_0069450-0069746.wav
57,/ihm/train/fee019/fee019_es2005c_train_h03_0069746-0070254.wav
58,/ihm/train/fee019/fee019_es2005c_train_h03_0070254-0070829.wav
59,/ihm/train/fee019/fee019_es2005c_train_h03_0041032-0041093.wav
60,/ihm/train/fee019/fee019_es2005c_train_h03_0041202-0041601.wav
61,/ihm/train/fee019/fee019_es2005c_train_h03_0041774-0041869.wav
62,/ihm/train/fee019/fee019_es2005c_train_h03_0041869-0042585.wav
